ElapsedTime(s),Battery(%)
77.2983,86.1272
77.3983,86.1305
77.4983,86.1338
77.5983,86.1371
77.6983,86.1404
77.7983,86.1437
77.8983,86.147
77.9983,86.1504
78.0983,86.1537
78.1983,86.157
78.2983,86.1603
78.3983,86.1636
78.4983,86.1669
78.5983,86.1702
78.6983,86.1735
78.7983,86.1768
78.8983,86.1801
78.9983,86.1834
79.0983,86.1867
79.1983,86.19
79.2983,86.1934
79.3983,86.1967
79.4983,86.2
79.5983,86.2033
79.6983,86.2066
79.7983,86.2099
79.8983,86.2132
79.9983,86.2165
80.0983,86.2198
80.1983,86.2231
80.2983,86.2264
80.3983,86.2297
80.4983,86.233
80.5983,86.2363
80.6983,86.2397
80.7983,86.243
80.8983,86.2463
80.9983,86.2496
81.0983,86.2529
81.1983,86.2562
81.2983,86.2595
81.3983,86.2628
81.4983,86.2661
81.5983,86.2694
81.6983,86.2727
81.7983,86.276
81.8983,86.2793
81.9983,86.2826
82.0983,86.286
82.1983,86.2893
82.2983,86.2926
82.3983,86.2959
82.4983,86.2992
82.5983,86.3025
82.6983,86.3058
82.7983,86.3091
82.8983,86.3124
82.9983,86.3157
83.0983,86.319
83.1983,86.3223
83.2983,86.3256
83.3983,86.329
83.4983,86.3323
83.5983,86.3356
83.6983,86.3389
83.7983,86.3422
83.8983,86.3455
83.9983,86.3488
84.0983,86.3521
84.1983,86.3554
84.2984,86.3587
84.3983,86.362
84.4983,86.3653
84.5983,86.3687
84.6983,86.372
84.7983,86.3753
84.8983,86.3786
84.9983,86.3819
85.0983,86.3852
85.1983,86.3885
85.2983,86.3918
85.3983,86.3951
85.4983,86.3984
85.5983,86.4017
85.6983,86.405
85.7983,86.4083
85.8983,86.4116
85.9983,86.415
86.0983,86.4183
86.1983,86.4216
86.2983,86.4249
86.3984,86.4282
86.4983,86.4315
86.5983,86.4348
86.6983,86.4381
86.7983,86.4414
86.8983,86.4447
86.9983,86.448
87.0983,86.4513
87.1983,86.4546
87.2983,86.4579
87.3983,86.4613
87.4984,86.4646
87.5983,86.4679
87.6983,86.4712
87.7983,86.4745
87.8983,86.4778
87.9983,86.4811
88.0983,86.4844
88.1983,86.4877
88.2983,86.491
88.3983,86.4943
88.4983,86.4976
88.5983,86.5009
88.6983,86.5043
88.7983,86.5076
88.8983,86.5109
88.9983,86.5142
89.0983,86.5175
89.1983,86.5208
89.2984,86.5241
89.3983,86.5274
89.4983,86.5307
89.5983,86.534
89.6983,86.5373
89.7983,86.5406
89.8983,86.5439
89.9983,86.5473
90.0983,86.5506
90.1983,86.5539
90.2983,86.5572
90.3983,86.5605
90.4983,86.5638
90.5983,86.5671
90.6983,86.5704
90.7983,86.5737
90.8983,86.577
90.9983,86.5803
91.0983,86.5836
91.1983,86.5869
91.2983,86.5902
91.3984,86.5936
91.4983,86.5969
91.5984,86.6002
91.6983,86.6035
91.7983,86.6068
91.8984,86.6101
91.9983,86.6134
92.0983,86.6167
92.1983,86.62
92.2983,86.6233
92.3983,86.6266
92.4983,86.6299
92.5984,86.6332
92.6983,86.6365
92.7984,86.6399
92.8983,86.6432
92.9983,86.6465
93.0983,86.6498
93.1983,86.6531
93.2983,86.6564
93.3983,86.6597
93.4983,86.663
93.5983,86.6663
93.6983,86.6696
93.7983,86.6729
93.8983,86.6762
93.9984,86.6795
94.0983,86.6829
94.1983,86.6862
94.2983,86.6893
94.3983,86.6928
94.4983,86.6959
94.5984,86.6992
94.6983,86.7025
94.7983,86.706
94.8983,86.7091
94.9984,86.7125
95.0984,86.7158
95.1984,86.7191
95.2984,86.7224
95.3984,86.7257
95.4984,86.729
95.5984,86.7323
95.6984,86.7356
95.7984,86.7389
95.8984,86.7422
95.9984,86.7455
96.0984,86.7488
96.1984,86.7521
96.2983,86.7555
96.3983,86.7588
96.4983,86.7621
96.5983,86.7654
96.6983,86.7687
96.7983,86.772
96.8983,86.7753
96.9983,86.7786
97.0984,86.7819
97.1984,86.7852
97.2983,86.7885
97.3984,86.7918
97.4984,86.7951
97.5983,86.7985
97.6984,86.8018
97.7984,86.8051
97.8984,86.8084
97.9983,86.8117
98.0984,86.815
98.1984,86.8183
98.2984,86.8216
98.3984,86.8249
98.4984,86.8282
98.5984,86.8315
98.6984,86.8348
98.7984,86.8381
98.8984,86.8414
98.9984,86.8448
99.0984,86.8481
99.1984,86.8514
99.2984,86.8547
99.3984,86.858
99.4984,86.8613
99.5984,86.8646
99.6984,86.8679
99.7984,86.8712
99.8984,86.8745
99.9984,86.8778
100.098,86.8811
100.198,86.8844
100.298,86.8877
100.398,86.8911
100.498,86.8944
100.598,86.8977
100.698,86.901
100.798,86.9043
100.898,86.9076
100.998,86.9109
101.098,86.9142
101.198,86.9175
101.298,86.9208
101.398,86.9241
101.498,86.9274
101.598,86.9308
101.698,86.9341
101.798,86.9374
101.898,86.9407
101.998,86.944
102.098,86.9473
102.198,86.9506
102.298,86.9539
102.398,86.9572
102.498,86.9605
102.598,86.9638
102.698,86.9671
102.798,86.9704
102.898,86.9738
102.998,86.9771
103.098,86.9804
103.198,86.9837
