ElapsedTime(s),Battery(%),DistanceRemaining,,,,
2.6544,99.9385,9.38259,,,,
2.66437,99.9385,9.38259,,,,
2.67439,99.9385,9.38259,,,,
2.68438,99.9385,9.38259,,,,
2.69433,99.9385,9.38259,,,,
2.70437,99.9385,9.38259,,,,
2.7144,99.9356,9.38259,,,,
2.72439,99.9356,9.38259,,,,
2.73441,99.9356,9.38259,,,,
2.74433,99.9356,9.31188,,,,
2.75436,99.9356,9.31188,,,,
2.76443,99.9356,9.31188,,,,
2.77443,99.9356,9.31188,,,,
2.7844,99.9356,9.31188,,,,
2.79436,99.9356,9.31188,,,,
2.80434,99.9356,9.31188,,,,
2.81446,99.9327,9.31188,,,,
2.8244,99.9327,9.31188,,,,
2.83441,99.9327,9.31188,,,,
2.84434,99.9327,9.31188,,,,
2.85432,99.9327,9.31188,,,,
2.86439,99.9327,9.24117,,,,
2.87445,99.9327,9.24117,,,,
2.88448,99.9327,9.24117,,,,
2.89435,99.9327,9.24117,,,,
2.90433,99.9327,9.24117,,,,
2.9144,99.9298,9.24117,,,,
2.92444,99.9298,9.24117,,,,
2.93438,99.9298,9.24117,,,,
2.94434,99.9298,9.24117,,,,
2.95434,99.9298,9.24117,,,,
2.96436,99.9298,9.24117,,,,
2.97435,99.9298,9.24117,,,,
2.9844,99.9298,9.24117,,,,
2.99431,99.9298,9.24117,,,,
3.0043,99.9298,9.24117,,,,
3.01439,99.9269,9.24117,,,,
3.02435,99.9269,9.17046,,,,
3.03435,99.9269,9.17046,,,,
3.0443,99.9269,9.17046,,,,
3.05436,99.9269,9.17046,,,,
3.06439,99.9269,9.17046,,,,
3.07441,99.9269,9.17046,,,,
3.08447,99.9269,9.17046,,,,
3.09429,99.9269,9.17046,,,,
3.10431,99.9269,9.17046,,,,
3.11435,99.9241,9.17046,,,,
3.12447,99.9241,9.17046,,,,
3.13446,99.9241,9.17046,,,,
3.14436,99.9241,9.17046,,,,
3.15435,99.9241,9.17046,,,,
3.16441,99.9241,9.09975,,,,
3.17441,99.9241,9.09975,,,,
3.18439,99.9241,9.09975,,,,
3.19432,99.9241,9.09975,,,,
3.20436,99.9241,9.09975,,,,
3.2144,99.9212,9.09975,,,,
3.2244,99.9212,9.09975,,,,
3.23443,99.9212,9.09975,,,,
3.24436,99.9212,9.09975,,,,
3.2543,99.9212,9.09975,,,,
3.26443,99.9212,9.09975,,,,
3.27436,99.9212,9.09975,,,,
3.28447,99.9212,9.09975,,,,
3.29433,99.9212,9.09975,,,,
3.30432,99.9212,9.02904,,,,
3.31437,99.9183,9.02904,,,,
3.32434,99.9183,9.02904,,,,
3.33444,99.9183,9.02904,,,,
3.34436,99.9183,9.02904,,,,
3.35435,99.9183,9.02904,,,,
3.36442,99.9183,9.02904,,,,
3.3744,99.9183,9.02904,,,,
3.38443,99.9183,9.02904,,,,
3.39431,99.9183,9.02904,,,,
3.40429,99.9183,9.02904,,,,
3.41444,99.9154,9.02904,,,,
3.42437,99.9154,9.02904,,,,
3.4344,99.9154,9.02904,,,,
3.44441,99.9154,8.95833,,,,
3.45434,99.9154,8.95833,,,,
3.46439,99.9154,8.95833,,,,
3.47447,99.9154,8.95833,,,,
3.48455,99.9154,8.95833,,,,
3.49436,99.9154,8.95833,,,,
3.50437,99.9154,8.95833,,,,
3.51453,99.9126,8.97904,,,,
3.52432,99.9126,8.90833,,,,
3.53452,99.9126,8.90833,,,,
3.54436,99.9126,8.90833,,,,
3.55439,99.9126,8.90833,,,,
3.56436,99.9126,8.90833,,,,
3.57438,99.9126,8.90833,,,,
3.58441,99.9126,8.90833,,,,
3.59434,99.9126,8.90833,,,,
3.60437,99.9126,8.90833,,,,
3.61448,99.9097,8.90833,,,,
3.6244,99.9097,8.90833,,,,
3.63447,99.9097,8.90833,,,,
3.64439,99.9097,8.90833,,,,
3.65434,99.9097,8.90833,,,,
3.66439,99.9097,8.83762,,,,
3.67439,99.9097,8.83762,,,,
3.68445,99.9097,8.83762,,,,
3.69432,99.9097,8.83762,,,,
3.70432,99.9097,8.83762,,,,
3.7144,99.9068,8.83762,,,,
3.72433,99.9068,8.83762,,,,
3.73437,99.9068,8.83762,,,,
3.74432,99.9068,8.83762,,,,
3.75434,99.9068,8.83762,,,,
3.76439,99.9068,8.83762,,,,
3.77439,99.9068,8.83762,,,,
3.78446,99.9068,8.83762,,,,
3.79431,99.9068,8.83762,,,,
3.80444,99.9068,8.7669,,,,
3.81446,99.9039,8.7669,,,,
3.8244,99.9039,8.7669,,,,
3.83442,99.9039,8.7669,,,,
3.84435,99.9039,8.7669,,,,
3.85432,99.9039,8.7669,,,,
3.86434,99.9039,8.7669,,,,
3.87438,99.9039,8.7669,,,,
3.88446,99.9039,8.7669,,,,
3.89437,99.9039,8.7669,,,,
3.90432,99.9039,8.7669,,,,
3.91439,99.9011,8.7669,,,,
3.92442,99.9011,8.7669,,,,
3.93436,99.9011,8.7669,,,,
3.94431,99.9011,8.69619,,,,
3.95428,99.9011,8.69619,,,,
3.96445,99.9011,8.69619,,,,
3.97441,99.9011,8.69619,,,,
3.98441,99.9011,8.69619,,,,
3.99433,99.9011,8.69619,,,,
4.00434,99.9011,8.69619,,,,
4.01438,99.8982,8.69619,,,,
4.02439,99.8982,8.69619,,,,
4.03438,99.8982,8.69619,,,,
4.04434,99.8982,8.69619,,,,
4.05435,99.8982,8.69619,,,,
4.06438,99.8982,8.69619,,,,
4.07436,99.8982,8.69619,,,,
4.08435,99.8982,8.62548,,,,
4.09437,99.8982,8.62548,,,,
4.10432,99.8982,8.62548,,,,
4.11436,99.8953,8.62548,,,,
4.12437,99.8953,8.62548,,,,
4.13448,99.8953,8.62548,,,,
4.14436,99.8953,8.62548,,,,
4.15436,99.8953,8.62548,,,,
4.16437,99.8953,8.62548,,,,
4.17441,99.8953,8.62548,,,,
4.18441,99.8953,8.62548,,,,
4.19437,99.8953,8.62548,,,,
4.20439,99.8953,8.62548,,,,
4.21437,99.8924,8.62548,,,,
4.22444,99.8924,8.55477,,,,
4.2344,99.8924,8.55477,,,,
4.24436,99.8924,8.55477,,,,
4.2543,99.8924,8.55477,,,,
4.26437,99.8924,8.55477,,,,
4.27435,99.8924,8.55477,,,,
4.28438,99.8924,8.55477,,,,
