ElapsedTime(s),Battery(%),DistanceRemaining
3.66479,99.8851,7.38701
3.67482,99.8851,7.38701
3.68491,99.8851,7.3163
3.6949,99.8822,7.3163
3.70488,99.8822,7.3163
3.71483,99.8822,7.3163
3.72484,99.8822,7.3163
3.7349,99.8822,7.3163
3.74488,99.8822,7.3163
3.75488,99.8822,7.3163
3.76484,99.8822,7.3163
3.77479,99.8822,7.3163
3.78487,99.8822,7.3163
3.79487,99.8794,7.3163
3.80489,99.8794,7.3163
3.81484,99.8794,7.3163
3.82483,99.8794,7.24558
3.83497,99.8794,7.24558
3.84491,99.8794,7.24558
3.85487,99.8794,7.24558
3.86483,99.8794,7.24558
3.8748,99.8794,7.24558
3.88489,99.8794,7.24558
3.89497,99.8765,7.24558
3.90494,99.8765,7.24558
3.91489,99.8765,7.24558
3.92485,99.8765,7.24558
3.93487,99.8765,7.24558
3.94489,99.8765,7.24558
3.95491,99.8765,7.24558
3.96483,99.8765,7.17487
3.97483,99.8765,7.17487
3.98495,99.8765,7.17487
3.99492,99.8736,7.17487
4.00492,99.8736,7.17487
4.01484,99.8736,7.17487
4.02485,99.8736,7.17487
4.0349,99.8736,7.17487
4.04487,99.8736,7.17487
4.05489,99.8736,7.17487
4.06482,99.8736,7.17487
4.07483,99.8736,7.17487
4.08488,99.8736,7.17487
4.09489,99.8707,7.17487
4.10488,99.8707,7.17487
4.11488,99.8707,7.17487
4.12483,99.8707,7.10416
4.13488,99.8707,7.10416
4.14488,99.8707,7.10416
4.15488,99.8707,7.10416
4.16489,99.8707,7.10416
4.17486,99.8707,7.10416
4.18498,99.8707,7.10416
4.19489,99.8678,7.10416
4.20487,99.8678,7.10416
4.21489,99.8678,7.10416
4.22487,99.8678,7.10416
4.23489,99.8678,7.10416
4.24488,99.8678,7.10416
4.2549,99.8678,7.10416
4.2649,99.8678,7.10416
4.27486,99.8678,7.10416
4.2849,99.8678,7.03345
4.2949,99.865,7.03345
4.30492,99.865,7.03345
4.31488,99.865,7.03345
4.32484,99.865,7.03345
