ElapsedTime(s),Battery(%),DistanceRemaining
4.96435,99.8763,8.13051
4.97438,99.8763,8.0598
4.98441,99.8763,8.0598
4.99441,99.8763,8.0598
5.00435,99.8735,8.0598
5.01435,99.8735,8.0598
5.02439,99.8735,8.0598
5.0344,99.8735,8.0598
5.04437,99.8735,8.0598
5.05434,99.8735,8.0598
5.06429,99.8735,8.0598
5.07441,99.8735,8.0598
5.08441,99.8735,8.0598
5.0944,99.8735,8.0598
5.10433,99.8706,8.0598
5.11435,99.8706,7.98909
5.12438,99.8706,7.98909
5.13438,99.8706,7.98909
5.14443,99.8706,7.98909
5.15437,99.8706,7.98909
5.16432,99.8706,7.98909
5.17437,99.8706,7.98909
5.18441,99.8706,7.98909
5.19437,99.8706,7.98909
5.2043,99.8677,7.98909
5.21433,99.8677,7.98909
5.2244,99.8677,7.98909
5.23439,99.8677,7.98909
5.24439,99.8677,7.98909
5.25434,99.8677,7.98909
5.26445,99.8677,7.98909
5.27439,99.8677,7.91838
5.28439,99.8677,7.91838
5.29439,99.8677,7.91838
5.30433,99.8648,7.91838
5.31435,99.8648,7.91838
5.32441,99.8648,7.91838
5.33438,99.8648,7.91838
5.34439,99.8648,7.91838
5.35437,99.8648,7.91838
5.36434,99.8648,7.91838
5.37439,99.8648,7.91838
5.3844,99.8648,7.91838
5.39437,99.8648,7.91838
5.40431,99.862,7.91838
5.41433,99.862,7.84767
5.42441,99.862,7.84767
5.43439,99.862,7.84767
5.4444,99.862,7.84767
5.45434,99.862,7.84767
5.46433,99.862,7.84767
5.47439,99.862,7.84767
5.48442,99.862,7.84767
5.49457,99.862,7.84767
5.50433,99.8591,7.84767
5.51451,99.8591,7.84767
5.52436,99.8591,7.84767
5.53437,99.8591,7.84767
5.54438,99.8591,7.84767
5.55436,99.8591,7.77696
5.56438,99.8591,7.77696
5.57434,99.8591,7.77696
5.5843,99.8591,7.77696
5.59437,99.8591,7.77696
5.60434,99.8562,7.77696
5.61441,99.8562,7.77696
5.6244,99.8562,7.77696
5.63438,99.8562,7.77696
5.6444,99.8562,7.77696
5.65433,99.8562,7.77696
5.66434,99.8562,7.77696
5.67438,99.8562,7.77696
5.68435,99.8562,7.77696
5.69447,99.8562,7.70624
5.70435,99.8533,7.70624
5.71436,99.8533,7.70624
5.72439,99.8533,7.70624
5.73437,99.8533,7.70624
5.74447,99.8533,7.70624
5.75436,99.8533,7.70624
5.76431,99.8533,7.70624
5.77442,99.8533,7.70624
5.78441,99.8533,7.70624
5.79441,99.8533,7.70624
5.80432,99.8505,7.70624
5.81442,99.8505,7.70624
5.8244,99.8505,7.70624
5.83439,99.8505,7.63553
5.84442,99.8505,7.63553
5.85439,99.8505,7.63553
5.8644,99.8505,7.63553
5.8744,99.8505,7.63553
5.88444,99.8505,7.63553
5.8944,99.8505,7.63553
5.90433,99.8476,7.63553
5.91439,99.8476,7.63553
5.92439,99.8476,7.63553
5.93441,99.8476,7.63553
5.94439,99.8476,7.63553
5.9544,99.8476,7.63553
5.96433,99.8476,7.63553
5.97442,99.8476,7.63553
5.98441,99.8476,7.63553
5.9944,99.8476,7.63553
6.00434,99.8447,7.63553
6.01432,99.8447,7.56482
6.02437,99.8447,7.56482
6.03444,99.8447,7.56482
6.04439,99.8447,7.56482
6.05436,99.8447,7.56482
6.06434,99.8447,7.56482
6.07439,99.8447,7.56482
6.08437,99.8447,7.56482
6.09442,99.8447,7.56482
6.10434,99.8418,7.56482
6.11437,99.8418,7.56482
6.12439,99.8418,7.56482
6.1344,99.8418,7.56482
6.14444,99.8418,7.56482
6.15431,99.8418,7.49411
6.16429,99.8418,7.49411
6.1744,99.8418,7.49411
6.18438,99.8418,7.49411
6.19441,99.8418,7.49411
6.20434,99.839,7.49411
6.21433,99.839,7.49411
6.22438,99.839,7.49411
6.23439,99.839,7.49411
6.2444,99.839,7.49411
6.25436,99.839,7.49411
6.26434,99.839,7.49411
6.27443,99.839,7.49411
6.28443,99.839,7.49411
6.2944,99.839,7.4234
6.30435,99.8361,7.4234
6.31436,99.8361,7.4234
6.32441,99.8361,7.4234
6.3344,99.8361,7.4234
6.34443,99.8361,7.4234
6.35436,99.8361,7.4234
6.36437,99.8361,7.4234
6.37441,99.8361,7.4234
6.38442,99.8361,7.4234
6.39438,99.8361,7.4234
6.40435,99.8332,7.4234
6.41435,99.8332,7.4234
6.4244,99.8332,7.4234
6.43445,99.8332,7.35269
6.44435,99.8332,7.35269
6.45439,99.8332,7.35269
6.46437,99.8332,7.35269
6.47439,99.8332,7.35269
6.48439,99.8332,7.35269
6.49446,99.8332,7.35269
6.50434,99.8303,7.35269
6.51432,99.8303,7.35269
6.52466,99.8303,7.35269
6.53441,99.8303,7.35269
6.54459,99.8303,7.35269
6.55441,99.8303,7.35269
6.5644,99.8303,7.35269
6.57438,99.8303,7.35269
6.58432,99.8303,7.35269
