ElapsedTime(s),Battery(%)
54.0962,98.4922
54.1961,98.4893
54.2962,98.4864
54.3961,98.4835
54.4961,98.4806
54.5962,98.4778
54.6962,98.4749
54.7962,98.472
54.8961,98.4691
54.9962,98.4663
55.0962,98.4634
55.1962,98.4605
55.2962,98.4576
55.3962,98.4548
55.4961,98.4519
55.5962,98.449
55.6962,98.4461
55.7962,98.4433
55.8962,98.4404
55.9962,98.4375
56.0962,98.4346
56.1962,98.4318
56.2962,98.4289
56.3962,98.426
56.4962,98.4231
56.5962,98.4202
56.6962,98.4174
56.7962,98.4145
56.8962,98.4116
56.9962,98.4087
57.0962,98.4059
57.1962,98.403
57.2962,98.4001
57.3962,98.3972
57.4962,98.3944
57.5962,98.3915
57.6962,98.3886
57.7962,98.3857
57.8962,98.3829
57.9962,98.38
58.0962,98.3771
58.1961,98.3742
58.2961,98.3714
58.3962,98.3685
58.4962,98.3656
58.5962,98.3627
58.6963,98.3599
58.7962,98.357
58.8962,98.3541
58.9961,98.3512
59.0962,98.3483
59.1962,98.3455
59.2962,98.3426
59.3962,98.3397
59.4962,98.3368
59.5962,98.334
59.6962,98.3311
59.7962,98.3282
59.8962,98.3253
59.9962,98.3225
60.0962,98.3196
60.1962,98.3167
60.2962,98.3138
60.3962,98.311
60.4962,98.3081
60.5962,98.3052
60.6962,98.3023
60.7962,98.2995
60.8962,98.2966
60.9962,98.2937
61.0962,98.2908
61.1962,98.288
61.2962,98.2851
61.3962,98.2822
61.4962,98.2793
61.5962,98.2765
61.6962,98.2736
61.7962,98.2707
61.8962,98.2678
61.9962,98.265
62.0962,98.2621
62.1962,98.2592
62.2962,98.2563
62.3962,98.2534
62.4962,98.2506
62.5962,98.2477
62.6962,98.2448
62.7962,98.2419
62.8962,98.2391
62.9962,98.2362
63.0962,98.2333
63.1962,98.2304
63.2962,98.2276
63.3962,98.2247
63.4962,98.2218
63.5962,98.2189
63.6962,98.2161
63.7962,98.2132
63.8962,98.2103
63.9962,98.2074
64.0962,98.2046
64.1962,98.2017
64.2962,98.1988
64.3962,98.1959
64.4962,98.193
64.5962,98.1902
64.6962,98.1873
64.7962,98.1844
64.8962,98.1815
64.9962,98.1787
65.0962,98.1758
65.1962,98.1729
65.2962,98.17
65.3962,98.1672
65.4962,98.1643
65.5962,98.1614
65.6962,98.1585
65.7962,98.1557
65.8962,98.1528
65.9962,98.1499
66.0962,98.147
66.1962,98.1442
66.2962,98.1413
66.3962,98.1384
66.4962,98.1355
66.5962,98.1327
66.6962,98.1298
66.7962,98.1269
66.8962,98.124
66.9962,98.1212
67.0962,98.1183
67.1962,98.1154
67.2962,98.1125
67.3962,98.1097
67.4962,98.1068
67.5962,98.1039
67.6962,98.101
67.7962,98.0981
67.8962,98.0953
67.9962,98.0924
68.0962,98.0895
68.1962,98.0866
68.2963,98.0838
68.3962,98.0809
68.4962,98.078
68.5962,98.0751
68.6962,98.0723
68.7962,98.0694
68.8962,98.0665
68.9962,98.0636
69.0962,98.0608
69.1962,98.0579
69.2962,98.055
69.3962,98.0521
69.4962,98.0493
69.5962,98.0464
69.6962,98.0435
69.7962,98.0406
69.8963,98.0377
69.9962,98.0349
70.0962,98.032
70.1962,98.0291
