Accumulated Time [min],Battery [%],Work Count [times]
2.52071,95.6283,1
2.52238,95.6254,1
2.52404,95.6225,1
2.52571,95.6197,1
2.52738,95.6168,1
2.52905,95.6139,1
2.53071,95.611,1
2.53238,95.6082,1
2.53404,95.6053,1
2.53571,95.6026,1
2.5374,95.5997,1
2.53904,95.5968,1
2.54071,95.5939,1
2.54238,95.5911,1
2.54404,95.5882,1
2.54571,95.5853,1
2.54738,95.5824,1
2.54905,95.5795,1
2.55071,95.5767,1
2.55238,95.5738,1
2.55405,95.5709,1
2.55571,95.568,1
2.55738,95.5652,1
2.55905,95.5623,1
2.56071,95.5594,1
2.56238,95.5565,1
2.56404,95.5537,1
2.56571,95.5508,1
2.56738,95.5479,1
2.56904,95.545,1
2.57071,95.5422,1
2.57238,95.5393,1
2.57405,95.5364,1
2.57571,95.5335,1
2.57738,95.5307,1
2.57904,95.5278,1
2.58071,95.5249,1
2.58238,95.5222,1
2.58405,95.5193,1
2.58571,95.5164,1
2.58738,95.5135,1
2.58905,95.5107,1
2.59071,95.5078,1
2.59238,95.5049,1
2.59404,95.502,1
2.59571,95.4992,1
2.59738,95.4963,1
2.59904,95.4934,1
2.60071,95.4905,1
2.60238,95.4877,1
2.60405,95.4848,1
2.60572,95.4819,1
2.60738,95.479,1
2.60905,95.4762,1
2.61071,95.4733,1
2.61238,95.4704,1
2.61404,95.4675,1
2.61571,95.4647,1
2.61738,95.4618,1
2.61905,95.4589,1
2.62071,95.456,1
2.62238,95.4531,1
2.62405,95.4503,1
2.62571,95.4474,1
2.62738,95.4445,1
2.62904,95.4416,1
2.63071,95.4388,1
2.63238,95.4359,1
2.63404,95.433,1
2.63572,95.4303,1
2.63738,95.4274,1
2.63904,95.4245,1
2.64072,95.4217,1
2.64238,95.4188,1
2.64404,95.4159,1
2.64571,95.413,1
2.64738,95.4101,1
2.64904,95.4074,1
2.65071,95.4045,1
2.65238,95.4017,1
2.65404,95.3988,1
2.65571,95.3959,1
2.65738,95.393,1
2.65905,95.3902,1
2.66071,95.3873,1
2.66238,95.3844,1
2.66404,95.3815,1
2.66571,95.3787,1
2.66738,95.3758,1
2.66904,95.3729,1
2.67071,95.37,1
2.67238,95.3672,1
2.67404,95.3643,1
2.67571,95.3614,1
2.67738,95.3585,1
2.67904,95.3557,1
2.68071,95.3528,1
2.68238,95.3499,1
2.68404,95.347,1
2.68571,95.3441,1
2.68738,95.3413,1
2.68905,95.3384,1
2.69071,95.3355,1
2.69238,95.3326,1
2.69404,95.3298,1
2.69571,95.3269,1
2.69738,95.324,1
2.69904,95.3211,1
2.70071,95.3183,1
2.70238,95.3154,1
2.70404,95.3125,1
2.70571,95.3096,1
2.70738,95.3068,1
2.70905,95.3039,1
2.71071,95.301,1
2.71238,95.2981,1
2.71404,95.2954,1
2.71571,95.2925,1
2.71738,95.2896,1
2.71904,95.2868,1
2.72071,95.2839,1
2.72238,95.281,1
2.72404,95.2781,1
2.72571,95.2753,1
2.72738,95.2725,1
2.72904,95.2697,1
2.73071,95.2668,1
2.73238,95.2639,1
2.73404,95.261,1
2.73571,95.2582,1
2.73738,95.2553,1
2.73904,95.2524,1
2.74071,95.2495,1
2.74238,95.2467,1
2.74404,95.2438,1
2.74571,95.2409,1
2.74738,95.238,1
2.74905,95.2351,1
2.75071,95.2323,1
2.75238,95.2294,1
2.75405,95.2265,1
2.75571,95.2236,1
2.75738,95.2208,1
2.75904,95.2179,1
2.76071,95.215,1
2.76238,95.2121,1
2.76404,95.2093,1
2.76571,95.2064,1
2.76738,95.2035,1
2.76904,95.2006,1
2.77071,95.1978,1
2.77238,95.1949,1
2.77404,95.192,1
2.77571,95.1891,1
2.77738,95.1863,1
2.77906,95.1834,1
2.78071,95.1805,1
3.7812,93.4837,1
3.7812,93.4808,1
3.7812,93.478,1
3.7812,93.4751,1
3.78121,93.4722,1
3.78121,93.4693,1
3.78121,93.4666,1
3.78121,93.4637,1
3.78121,93.4608,1
3.78121,93.458,1
3.78238,93.4551,1
3.78405,93.4522,1
3.78571,93.4493,1
3.78738,93.4465,1
3.78905,93.4436,1
3.79071,93.4407,1
3.79238,93.4378,1
3.79404,93.435,1
3.79571,93.4321,1
3.79738,93.4292,1
3.79905,93.4263,1
3.80071,93.4235,1
3.80238,93.4206,1
3.80405,93.4177,1
3.80571,93.4148,1
3.80738,93.4119,1
3.80905,93.4091,1
3.81071,93.4062,1
3.81238,93.4033,1
3.81404,93.4004,1
3.81571,93.3976,1
3.81738,93.3947,1
3.81904,93.3918,1
3.82072,93.3891,1
3.82238,93.3864,1
3.82404,93.3835,1
3.82571,93.3806,1
3.82738,93.3777,1
3.82904,93.3749,1
3.83072,93.372,1
3.83238,93.3691,1
3.83405,93.3664,1
3.83571,93.3635,1
3.83739,93.3606,1
3.83905,93.3577,1
3.84071,93.3549,1
3.84238,93.352,1
3.84404,93.3491,1
3.84571,93.3462,1
3.84738,93.3434,1
3.84904,93.3405,1
3.85071,93.3376,1
3.85238,93.3347,1
3.85404,93.3319,1
3.85572,93.329,1
3.85738,93.3261,1
3.85905,93.3232,1
3.86071,93.3205,1
3.86238,93.3178,1
3.86404,93.3149,1
3.86571,93.312,1
3.86738,93.3091,1
3.86905,93.3063,1
3.87071,93.3034,1
3.87238,93.3005,1
3.87405,93.2976,1
3.87571,93.2948,1
3.87738,93.2919,1
3.87904,93.289,1
3.88072,93.2861,1
3.88238,93.2833,1
3.88404,93.2804,1
3.88571,93.2775,1
3.88738,93.2746,1
3.88904,93.2718,1
3.89071,93.2689,1
3.89238,93.266,1
3.89404,93.2631,1
3.89571,93.2603,1
3.89738,93.2574,1
3.89904,93.2545,1
3.90071,93.2516,1
3.90238,93.2487,1
3.90405,93.2459,1
3.90571,93.243,1
3.90738,93.2401,1
3.90905,93.2372,1
3.91071,93.2344,1
3.91238,93.2315,1
