Accumulated Time [min],Battery [%],Work Count [times]
2.67252,95.3742,1
2.67418,95.3713,1
2.67585,95.3685,1
2.67752,95.3656,1
2.67918,95.3628,1
2.68085,95.36,1
2.68252,95.3571,1
2.68418,95.3542,1
2.68585,95.3513,1
2.68752,95.3485,1
2.68918,95.3456,1
2.69085,95.3427,1
2.69252,95.34,1
2.69418,95.3371,1
2.69585,95.3342,1
2.69752,95.3314,1
2.69918,95.3285,1
2.70085,95.3256,1
2.70252,95.3227,1
2.70418,95.3199,1
2.70585,95.317,1
2.70752,95.3142,1
2.70918,95.3115,1
2.71085,95.3086,1
2.71252,95.3058,1
2.71418,95.3029,1
2.71585,95.3,1
2.71752,95.2971,1
2.71918,95.2943,1
2.72085,95.2914,1
2.72252,95.2885,1
2.72418,95.2856,1
2.72585,95.2827,1
2.72752,95.2799,1
2.72918,95.277,1
2.73085,95.2741,1
2.73252,95.2712,1
2.73418,95.2684,1
2.73585,95.2655,1
2.73752,95.2626,1
2.73918,95.2599,1
2.74085,95.257,1
2.74252,95.2541,1
2.74419,95.2513,1
2.74585,95.2484,1
2.74752,95.2455,1
2.74918,95.2426,1
2.75085,95.2398,1
2.75252,95.2369,1
2.75418,95.234,1
2.75585,95.2311,1
2.75752,95.2282,1
2.75918,95.2254,1
2.76085,95.2225,1
2.76252,95.2196,1
2.76418,95.2167,1
2.76585,95.2139,1
2.76752,95.211,1
2.76918,95.2081,1
2.77085,95.2054,1
3.77167,93.5151,1
3.77168,93.5122,1
3.77168,93.5093,1
3.77168,93.5064,1
3.77168,93.5035,1
3.77168,93.5007,1
3.77168,93.4978,1
3.77168,93.4949,1
3.77168,93.492,1
3.77168,93.4892,1
3.77252,93.4863,1
3.77418,93.4834,1
3.77585,93.4805,1
3.77752,93.4778,1
3.77918,93.4749,1
3.78085,93.4722,1
3.78252,93.4693,1
3.78419,93.4666,1
3.78585,93.4637,1
3.78752,93.4608,1
3.78919,93.4581,1
3.79086,93.4552,1
3.79252,93.4524,1
3.79418,93.4493,1
3.79585,93.4466,1
3.79752,93.4437,1
3.79918,93.4409,1
3.80085,93.438,1
3.80252,93.4351,1
3.80419,93.4322,1
3.80585,93.4295,1
3.80752,93.4266,1
3.80918,93.4237,1
3.81086,93.4209,1
3.81252,93.418,1
3.81418,93.4151,1
3.81585,93.4122,1
3.81752,93.4094,1
3.81918,93.4065,1
3.82085,93.4036,1
3.82252,93.4009,1
3.82419,93.3981,1
3.82586,93.3953,1
3.82752,93.3924,1
3.82918,93.3895,1
3.83085,93.3868,1
3.83252,93.3839,1
3.83419,93.381,1
3.83585,93.3782,1
3.83752,93.3753,1
3.83918,93.3724,1
3.84085,93.3695,1
3.84252,93.3667,1
3.84418,93.3638,1
3.84585,93.3609,1
3.84752,93.358,1
3.84919,93.3551,1
3.85085,93.3523,1
3.85252,93.3494,1
3.85418,93.3465,1
3.85585,93.3436,1
3.85752,93.3408,1
3.85918,93.338,1
3.86085,93.3352,1
3.86252,93.3323,1
3.86419,93.3294,1
3.86585,93.3265,1
3.86752,93.3237,1
3.86918,93.3208,1
3.87085,93.3179,1
3.87252,93.315,1
3.87418,93.3122,1
3.87585,93.3093,1
3.87752,93.3064,1
3.87918,93.3035,1
3.88085,93.3007,1
3.88252,93.2978,1
3.88418,93.2949,1
3.88585,93.292,1
3.88752,93.2891,1
3.88918,93.2863,1
3.89085,93.2837,1
3.89252,93.2808,1
3.89418,93.2779,1
3.89585,93.2751,1
3.89752,93.2722,1
3.89918,93.2693,1
3.90085,93.2664,1
3.90252,93.2635,1
3.90418,93.2607,1
3.90585,93.2578,1
3.90752,93.2549,1
3.90919,93.2521,1
3.91085,93.2492,1
3.91252,93.2463,1
3.91418,93.2434,1
3.91585,93.2407,1
3.91752,93.2378,1
3.91919,93.2352,1
3.92085,93.2323,1
3.92252,93.2295,1
3.92419,93.2266,1
3.92585,93.2237,1
3.92752,93.2208,1
3.92918,93.2181,1
3.93085,93.2154,1
3.93252,93.2125,1
3.93419,93.2096,1
3.93585,93.2068,1
3.93752,93.2039,1
3.93919,93.201,1
3.94085,93.1983,1
3.94252,93.1954,1
3.94419,93.1925,1
3.94586,93.1896,1
3.94752,93.1868,1
3.94918,93.184,1
3.95085,93.1812,1
3.95252,93.1783,1
3.95418,93.1754,1
3.95585,93.1725,1
3.95752,93.1697,1
3.95918,93.1668,1
3.96085,93.1641,1
3.96252,93.1612,1
3.96419,93.1583,1
3.96585,93.1554,1
3.96752,93.1527,1
3.96918,93.1498,1
3.97085,93.1469,1
3.97252,93.1441,1
3.97418,93.1412,1
3.97585,93.1383,1
3.97752,93.1356,1
3.97918,93.1327,1
3.98085,93.13,1
3.98252,93.1271,1
3.98418,93.1244,1
3.98585,93.1215,1
3.98752,93.1186,1
3.98918,93.1157,1
3.99085,93.1129,1
3.99252,93.11,1
3.99418,93.1071,1
3.99585,93.1042,1
3.99752,93.1013,1
3.99918,93.0985,1
4.00085,93.0956,1
4.00252,93.0927,1
4.00419,93.0899,1
4.00585,93.087,1
4.00752,93.0841,1
4.00918,93.0812,1
4.01085,93.0783,1
4.01252,93.0755,1
4.01418,93.0726,1
4.01585,93.0697,1
4.01752,93.067,1
4.01918,93.0641,1
4.02085,93.0612,1
4.02252,93.0584,1
4.02419,93.0555,1
4.02585,93.0526,1
4.02752,93.0497,1
4.02918,93.0469,1
4.03086,93.044,1
4.03252,93.0411,1
4.03418,93.0382,1
4.03586,93.0353,1
4.03752,93.0325,1
4.03918,93.0296,1
4.04085,93.0267,1
4.04252,93.0238,1
4.04419,93.021,1
4.04585,93.0181,1
4.04752,93.0152,1
4.04918,93.0123,1
4.05085,93.0095,1
4.05252,93.0066,1
4.05418,93.0037,1
4.05585,93.0008,1
4.05752,92.998,1
4.05918,92.9951,1
4.06085,92.9922,1
4.06252,92.9895,1
4.06418,92.9866,1
4.06585,92.9837,1
4.06752,92.9809,1
4.06919,92.9781,1
4.07085,92.9752,1
4.07252,92.9724,1
4.07419,92.9695,1
4.07586,92.9666,1
4.07752,92.9637,1
4.07919,92.9609,1
4.08085,92.958,1
4.08252,92.9553,1
4.08419,92.9524,1
4.08585,92.9495,1
4.08752,92.9466,1
4.08918,92.9438,1
4.09085,92.9409,1
4.09252,92.938,1
4.09418,92.9351,1
4.09585,92.9323,1
4.09752,92.9294,1
4.09918,92.9265,1
4.10085,92.9238,1
4.10252,92.9209,1
4.10419,92.918,1
4.10585,92.9151,1
4.10752,92.9123,1
4.10918,92.9094,1
4.11085,92.9065,1
4.11252,92.9036,1
4.11418,92.9009,1
4.11585,92.898,1
4.11752,92.8953,1
4.11918,92.8924,1
4.12085,92.8895,1
4.12252,92.887,1
4.12418,92.8841,1
4.12585,92.8812,1
4.12752,92.8783,1
4.12918,92.8755,1
4.13085,92.8727,1
4.13252,92.8698,1
4.13418,92.867,1
4.13585,92.8641,1
4.13752,92.8612,1
5.1387,91.1702,2
5.1387,91.1673,2
5.13871,91.1644,2
5.13871,91.1615,2
5.13871,91.1587,2
5.13871,91.1558,2
5.13871,91.1529,2
5.13871,91.15,2
5.13871,91.1471,2
5.13871,91.1443,2
5.13919,91.1414,2
5.14085,91.1385,2
5.14252,91.1357,2
5.14418,91.1328,2
5.14585,91.1299,2
5.14752,91.127,2
5.14918,91.1243,2
5.15085,91.1214,2
5.15252,91.1185,2
5.15418,91.1157,2
5.15585,91.1128,2
5.15752,91.1099,2
5.15918,91.107,2
5.16085,91.1042,2
5.16252,91.1013,2
5.16418,91.0984,2
5.16585,91.0957,2
5.16752,91.0928,2
5.16919,91.0899,2
5.17085,91.087,2
5.17252,91.0842,2
5.17419,91.0814,2
5.17585,91.0786,2
5.17752,91.0757,2
5.17919,91.073,2
5.18085,91.0701,2
5.18253,91.0672,2
5.18419,91.0643,2
5.18586,91.0615,2
5.18752,91.0586,2
5.18918,91.0557,2
5.19086,91.0528,2
5.19252,91.0499,2
5.19419,91.0471,2
5.19585,91.0442,2
5.19752,91.0413,2
5.19919,91.0384,2
5.20085,91.0356,2
5.20252,91.0327,2
5.20419,91.03,2
5.20586,91.0272,2
5.20752,91.0245,2
5.20918,91.0216,2
5.21085,91.0187,2
5.21252,91.0159,2
5.21418,91.013,2
5.21585,91.01,2
5.21752,91.0071,2
5.21918,91.0042,2
5.22085,91.0013,2
5.22252,90.9985,2
5.22419,90.9957,2
5.22585,90.9927,2
5.22752,90.9898,2
5.22919,90.987,2
5.23085,90.9842,2
5.23252,90.9814,2
5.23418,90.9783,2
5.23585,90.9755,2
5.23752,90.9726,2
5.23918,90.9699,2
5.24085,90.967,2
5.24252,90.9641,2
5.24419,90.9614,2
5.24586,90.9585,2
5.24752,90.9556,2
5.24919,90.9529,2
5.25085,90.95,2
5.25252,90.9471,2
5.25419,90.9444,2
5.25586,90.9415,2
5.25752,90.9387,2
5.25919,90.9358,2
5.26085,90.9329,2
5.26252,90.93,2
5.26419,90.9273,2
5.26586,90.9244,2
5.26752,90.9215,2
5.26918,90.9187,2
5.27085,90.9158,2
5.27252,90.9129,2
5.27419,90.91,2
5.27585,90.9072,2
5.27752,90.9043,2
5.27919,90.9014,2
5.28086,90.8987,2
5.28252,90.8958,2
5.28419,90.8931,2
5.28585,90.8902,2
5.28752,90.8875,2
5.28919,90.8846,2
5.29086,90.8817,2
5.29252,90.8788,2
5.29419,90.876,2
5.29585,90.8731,2
5.29752,90.8702,2
5.29919,90.8673,2
5.30086,90.8644,2
5.30252,90.8616,2
5.30419,90.8587,2
5.30585,90.856,2
5.30752,90.8532,2
5.30919,90.8504,2
5.31085,90.8475,2
5.31252,90.8446,2
5.31419,90.842,2
5.31585,90.8391,2
5.31752,90.8363,2
5.31919,90.8334,2
5.32085,90.8308,2
5.32252,90.8279,2
5.32419,90.8251,2
5.32585,90.8222,2
5.32752,90.8193,2
5.32918,90.8164,2
5.33085,90.8135,2
5.33252,90.8107,2
5.33419,90.8078,2
5.33585,90.8049,2
5.33752,90.802,2
5.33918,90.7992,2
5.34085,90.7963,2
5.34252,90.7934,2
5.34418,90.7905,2
5.34585,90.7877,2
5.34752,90.7848,2
5.34918,90.7819,2
5.35085,90.779,2
5.35252,90.7762,2
5.35419,90.7733,2
5.35585,90.7704,2
5.35752,90.7675,2
5.35918,90.7647,2
5.36085,90.7618,2
5.36252,90.7589,2
5.36418,90.756,2
5.36585,90.7532,2
5.36752,90.7504,2
5.36919,90.7477,2
5.37085,90.7448,2
5.37253,90.7419,2
5.37418,90.7391,2
5.37585,90.7362,2
5.37752,90.7333,2
5.37918,90.7304,2
5.38085,90.7276,2
5.38252,90.7247,2
5.38419,90.7218,2
5.38585,90.7189,2
5.38752,90.716,2
5.38918,90.7133,2
5.39085,90.7104,2
5.39252,90.7076,2
5.39418,90.7047,2
5.39585,90.7018,2
5.39752,90.6989,2
5.39918,90.6961,2
5.40085,90.6932,2
5.40252,90.6903,2
5.40419,90.6874,2
5.40585,90.6846,2
5.40752,90.6817,2
5.40918,90.6788,2
5.41085,90.6759,2
5.41252,90.673,2
5.41419,90.6702,2
5.41585,90.6673,2
5.41752,90.6646,2
5.41918,90.6617,2
