ElapsedTime(s),Battery(%),ChargeRate(%/min),,Cc-speed [%/min],Cv-speed [%/min]
78.3983,86.1636,1.98,,,
78.4983,86.1669,1.98,,,
78.5983,86.1702,1.98,,,
78.6983,86.1735,1.98,,,
78.7983,86.1768,1.98,,,
78.8983,86.1801,1.98,,,
78.9983,86.1834,1.98,,,
79.0983,86.1867,1.98,,,
79.1983,86.19,1.98,,,
79.2983,86.1934,2.04,,,
79.3983,86.1967,1.98,,,
79.4983,86.2,1.98,,,
79.5983,86.2033,1.98,,,
79.6983,86.2066,1.98,,,
79.7983,86.2099,1.98,,,
79.8983,86.2132,1.98,,,
79.9983,86.2165,1.98,,,
80.0983,86.2198,1.98,,,
80.1983,86.2231,1.98,,,
80.2983,86.2264,1.98,,,
80.3983,86.2297,1.98,,,
80.4983,86.233,1.98,,,
80.5983,86.2363,1.98,,,
80.6983,86.2397,2.04,,,
80.7983,86.243,1.98,,,
80.8983,86.2463,1.98,,,
80.9983,86.2496,1.98,,,
81.0983,86.2529,1.98,,,
81.1983,86.2562,1.98,,,
81.2983,86.2595,1.98,,,
81.3983,86.2628,1.98,,,
81.4983,86.2661,1.98,,,
81.5983,86.2694,1.98,,,
81.6983,86.2727,1.98,,,
81.7983,86.276,1.98,,,
81.8983,86.2793,1.98,,,
81.9983,86.2826,1.98,,,
82.0983,86.286,2.04,,,
82.1983,86.2893,1.98,,,
82.2983,86.2926,1.98,,,
82.3983,86.2959,1.98,,,
82.4983,86.2992,1.98,,,
82.5983,86.3025,1.98,,,
82.6983,86.3058,1.98,,,
82.7983,86.3091,1.98,,,
82.8983,86.3124,1.98,,,
82.9983,86.3157,1.98,,,
83.0983,86.319,1.98,,,
83.1983,86.3223,1.98,,,
83.2983,86.3256,1.98,,,
83.3983,86.329,2.04,,,
83.4983,86.3323,1.98,,,
83.5983,86.3356,1.98,,,
83.6983,86.3389,1.98,,,
83.7983,86.3422,1.98,,,
83.8983,86.3455,1.98,,,
83.9983,86.3488,1.98,,,
84.0983,86.3521,1.98,,,
84.1983,86.3554,1.98,,,
84.2984,86.3587,1.98,,,
84.3983,86.362,1.98,,,
84.4983,86.3653,1.98,,,
84.5983,86.3687,2.04,,,
84.6983,86.372,1.98,,,
84.7983,86.3753,1.98,,,
84.8983,86.3786,1.98,,,
84.9983,86.3819,1.98,,,
85.0983,86.3852,1.98,,,
85.1983,86.3885,1.98,,,
85.2983,86.3918,1.98,,,
85.3983,86.3951,1.98,,,
85.4983,86.3984,1.98,,,
85.5983,86.4017,1.98,,,
85.6983,86.405,1.98,,,
85.7983,86.4083,1.98,,,
85.8983,86.4116,1.98,,,
85.9983,86.415,2.04,,,
86.0983,86.4183,1.98,,,
86.1983,86.4216,1.98,,,
86.2983,86.4249,1.98,,,
86.3984,86.4282,1.98,,,
86.4983,86.4315,1.98,,,
86.5983,86.4348,1.98,,,
86.6983,86.4381,1.98,,,
86.7983,86.4414,1.98,,,
86.8983,86.4447,1.98,,,
86.9983,86.448,1.98,,,
87.0983,86.4513,1.98,,,
87.1983,86.4546,1.98,,,
87.2983,86.4579,1.98,,,
87.3983,86.4613,2.04,,,
87.4984,86.4646,1.98,,,
87.5983,86.4679,1.98,,,
87.6983,86.4712,1.98,,,
87.7983,86.4745,1.98,,,
87.8983,86.4778,1.98,,,
87.9983,86.4811,1.98,,,
88.0983,86.4844,1.98,,,
88.1983,86.4877,1.98,,,
88.2983,86.491,1.98,,,
88.3983,86.4943,1.98,,,
88.4983,86.4976,1.98,,,
88.5983,86.5009,1.98,,,
88.6983,86.5043,2.04,,,
88.7983,86.5076,1.98,,,
88.8983,86.5109,1.98,,,
88.9983,86.5142,1.98,,,
89.0983,86.5175,1.98,,,
89.1983,86.5208,1.98,,,
89.2984,86.5241,1.98,,,
89.3983,86.5274,1.98,,,
89.4983,86.5307,1.98,,,
89.5983,86.534,1.98,,,
89.6983,86.5373,1.98,,,
89.7983,86.5406,1.98,,,
89.8983,86.5439,1.98,,,
89.9983,86.5473,2.04,,,
90.0983,86.5506,1.98,,,
90.1983,86.5539,1.98,,,
90.2983,86.5572,1.98,,,
90.3983,86.5605,1.98,,,
90.4983,86.5638,1.98,,,
90.5983,86.5671,1.98,,,
90.6983,86.5704,1.98,,,
90.7983,86.5737,1.98,,,
90.8983,86.577,1.98,,,
90.9983,86.5803,1.98,,,
91.0983,86.5836,1.98,,,
91.1983,86.5869,1.98,,,
91.2983,86.5902,1.98,,,
91.3984,86.5936,2.04,,,
91.4983,86.5969,1.98,,,
91.5984,86.6002,1.98,,,
91.6983,86.6035,1.98,,,
91.7983,86.6068,1.98,,,
91.8984,86.6101,1.98,,,
91.9983,86.6134,1.98,,,
92.0983,86.6167,1.98,,,
92.1983,86.62,1.98,,,
92.2983,86.6233,1.98,,,
92.3983,86.6266,1.98,,,
92.4983,86.6299,1.98,,,
92.5984,86.6332,1.98,,,
92.6983,86.6365,1.98,,,
92.7984,86.6399,2.04,,,
92.8983,86.6432,1.98,,,
92.9983,86.6465,1.98,,,
93.0983,86.6498,1.98,,,
93.1983,86.6531,1.98,,,
93.2983,86.6564,1.98,,,
93.3983,86.6597,1.98,,,
93.4983,86.663,1.98,,,
93.5983,86.6663,1.98,,,
93.6983,86.6696,1.98,,,
93.7983,86.6729,1.98,,,
93.8983,86.6762,1.98,,,
93.9984,86.6795,1.98,,,
94.0983,86.6829,2.04,,,
94.1983,86.6862,1.98,,,
94.2983,86.6893,1.86,,,
94.3983,86.6928,2.10,,,
94.4983,86.6959,1.86,,,
94.5984,86.6992,1.98,,,
94.6983,86.7025,1.98,,,
94.7983,86.706,2.10,,,
94.8983,86.7091,1.86,,,
94.9984,86.7125,2.04,,,
95.0984,86.7158,1.98,,,
95.1984,86.7191,1.98,,,
95.2984,86.7224,1.98,,,
95.3984,86.7257,1.98,,,
95.4984,86.729,1.98,,,
95.5984,86.7323,1.98,,,
95.6984,86.7356,1.98,,,
95.7984,86.7389,1.98,,,
95.8984,86.7422,1.98,,,
95.9984,86.7455,1.98,,,
96.0984,86.7488,1.98,,,
96.1984,86.7521,1.98,,,
96.2983,86.7555,2.04,,,
96.3983,86.7588,1.98,,,
96.4983,86.7621,1.98,,,
96.5983,86.7654,1.98,,,
96.6983,86.7687,1.98,,,
96.7983,86.772,1.98,,,
96.8983,86.7753,1.98,,,
96.9983,86.7786,1.98,,,
97.0984,86.7819,1.98,,,
97.1984,86.7852,1.98,,,
97.2983,86.7885,1.98,,,
97.3984,86.7918,1.98,,,
97.4984,86.7951,1.98,,,
97.5983,86.7985,2.04,,,
97.6984,86.8018,1.98,,,
97.7984,86.8051,1.98,,,
97.8984,86.8084,1.98,,,
97.9983,86.8117,1.98,,,
98.0984,86.815,1.98,,,
98.1984,86.8183,1.98,,,
98.2984,86.8216,1.98,,,
98.3984,86.8249,1.98,,,
98.4984,86.8282,1.98,,,
98.5984,86.8315,1.98,,,
98.6984,86.8348,1.98,,,
98.7984,86.8381,1.98,,,
98.8984,86.8414,1.98,,,
98.9984,86.8448,2.04,,,
99.0984,86.8481,1.98,,,
99.1984,86.8514,1.98,,,
99.2984,86.8547,1.98,,,
99.3984,86.858,1.98,,,
99.4984,86.8613,1.98,,,
99.5984,86.8646,1.98,,,
99.6984,86.8679,1.98,,,
99.7984,86.8712,1.98,,,
99.8984,86.8745,1.98,,,
99.9984,86.8778,1.98,,,
100.098,86.8811,1.99,,,
100.198,86.8844,1.98,,,
100.298,86.8877,1.98,,,
100.398,86.8911,2.04,,,
100.498,86.8944,1.98,,,
100.598,86.8977,1.98,,,
100.698,86.901,1.98,,,
100.798,86.9043,1.98,,,
100.898,86.9076,1.98,,,
100.998,86.9109,1.98,,,
101.098,86.9142,1.98,,,
101.198,86.9175,1.98,,,
101.298,86.9208,1.98,,,
101.398,86.9241,1.98,,,
101.498,86.9274,1.98,,,
101.598,86.9308,2.04,,,
101.698,86.9341,1.98,,,
101.798,86.9374,1.98,,,
101.898,86.9407,1.98,,,
101.998,86.944,1.98,,,
102.098,86.9473,1.98,,,
102.198,86.9506,1.98,,,
102.298,86.9539,1.98,,,
102.398,86.9572,1.98,,,
102.498,86.9605,1.98,,,
102.598,86.9638,1.98,,,
102.698,86.9671,1.98,,,
102.798,86.9704,1.98,,,
102.898,86.9738,2.04,,,
102.998,86.9771,1.98,,,
103.098,86.9804,1.98,,,
103.198,86.9837,1.98,,,
103.298,86.987,1.98,,,
103.398,86.9903,1.98,,,
103.498,86.9936,1.98,,,
103.598,86.9969,1.98,,,
103.698,87.0002,1.98,,,
103.798,87.0035,1.98,,,
103.898,87.0068,1.98,,,
103.998,87.0101,1.98,,,
104.098,87.0134,1.98,,,
104.198,87.0167,1.98,,,
104.298,87.0201,2.04,,,
104.398,87.0234,1.98,,,
104.498,87.0267,1.98,,,
104.598,87.03,1.98,,,
104.698,87.0333,1.98,,,
104.798,87.0366,1.98,,,
