第0世代
time,45.88,52.865,58.5455,77.1805,110.836,
soc,21,24,55,69,66,
f1,f2,first_soc,front
120.89,57.996,97,12
time,41.8,
soc,96,
f1,f2,first_soc,front
122.885,40.5386,99,12
time,18.68,55.7965,94.4794,
soc,93,93,72,
f1,f2,first_soc,front
124.615,33.9274,88,12
time,21.4,100.794,
soc,100,40,
f1,f2,first_soc,front
128.991,27.9817,88,12
time,28.2,52.788,103.258,
soc,68,100,69,
f1,f2,first_soc,front
130.694,25.1015,94,12
time,47.24,52.8916,64.9877,96.1601,
soc,17,30,70,83,
f1,f2,first_soc,front
133.571,21.2994,94,12
time,1,32.7573,57.7997,96.9481,
soc,100,71,77,78,
f1,f2,first_soc,front
134.568,20.5566,89,12
time,37.72,44.2894,54.6885,106.554,
soc,33,45,94,78,
f1,f2,first_soc,front
141.494,20.4585,89,13
time,15.96,63.7617,122.973,
soc,85,89,72,
f1,f2,first_soc,front
121.168,61.55,97,13
time,24.12,55.7829,66.1228,82.3205,
soc,90,78,86,86,
f1,f2,first_soc,front
123.56,43.0339,84,13
time,25.48,47.8839,75.9186,
soc,59,79,88,
f1,f2,first_soc,front
130.154,41.2539,97,13
time,30.92,70.8662,
soc,65,89,
f1,f2,first_soc,front
130.574,30.7411,87,13
time,3.72,14.7763,57.554,77.2573,
soc,93,96,46,76,
f1,f2,first_soc,front
131.986,25.4571,80,13
time,35,61.4128,102.027,
soc,68,100,74,
f1,f2,first_soc,front
136.788,24.0244,91,13
time,10.52,65.2801,111.386,
soc,92,64,65,
f1,f2,first_soc,front
124.565,42.9664,83,13
time,10.52,26.3641,58.2519,
soc,79,76,89,
f1,f2,first_soc,front
139.051,21.9044,82,13
time,33.64,74.4086,119.06,
soc,94,93,53,
f1,f2,first_soc,front
140.573,20.8662,92,13
time,6.44,41.149,68.2685,106.084,
soc,91,54,55,76,
f1,f2,first_soc,front
139.614,21.002,89,13
time,20.04,72.9189,77.8216,114.876,
soc,93,45,64,62,
f1,f2,first_soc,front
140.47,21.5238,88,14
time,32.28,57.948,116.167,
soc,55,95,78,
f1,f2,first_soc,front
124.217,50.6089,82,14
time,7.8,29.7357,58.9208,
soc,84,77,91,
